City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
323,saurimo,-9.6608,20.3916,13.93,53,3,2.57,AO,1718322198
324,mu'minobod,38.1085,70.0285,21.35,43,54,3.58,TJ,1718322314
325,constitucion,-35.3333,-72.4167,13.51,87,100,7.79,CL,1718322314
326,cole harbour,44.6724,-63.4751,19.66,79,42,2.57,CA,1718322314
327,salamanca,40.8333,-6.0,16.53,55,63,1.73,ES,1718322315
328,broken hill,-31.95,141.4333,11.11,73,97,4.12,AU,1718322229
329,nelson bay,-32.7167,152.15,15.0,88,99,0.89,AU,1718322315
330,paracuru,-3.41,-39.0306,24.82,90,21,3.77,BR,1718322315
331,tshikapa,-6.4167,20.8,22.23,53,1,0.98,CD,1718322315
332,lospalos,-8.5186,127.0025,23.34,71,18,3.67,TL,1718322315
333,mountain view,37.3861,-122.0838,28.04,54,0,7.72,US,1718322311
334,san antonio oeste,-40.7319,-64.9477,16.03,46,68,9.62,AR,1718322315
335,xining,36.6167,101.7667,12.53,71,57,0.66,CN,1718322315
336,bamboo flat,11.7,92.7167,27.05,94,40,3.09,IN,1718322315
337,arraial do cabo,-22.9661,-42.0278,22.98,83,0,5.14,BR,1718321957
338,hammerfest,70.6634,23.6821,7.25,87,43,1.03,NO,1718322210
339,elliot lake,46.3834,-82.6331,19.44,59,65,4.92,CA,1718322217
340,brisas de zicatela,15.8369,-97.0419,30.29,79,75,4.12,MX,1718322315
341,banda aceh,5.5577,95.3222,27.58,80,12,4.55,ID,1718322203
342,bhamo,24.2667,97.2333,24.14,99,100,0.3,MM,1718322315
343,la sarre,48.8002,-79.1996,15.8,92,91,5.05,CA,1718322074
344,buka,40.8108,69.1986,17.71,48,23,2.79,UZ,1718322315
345,ulsteinvik,62.3432,5.8487,9.07,93,99,0.71,NO,1718322315
346,kuanda,56.3161,116.0806,17.38,68,80,1.12,RU,1718322237
347,nogliki,51.8333,143.1667,6.86,93,100,2.68,RU,1718322315
348,saint-joseph,-21.3667,55.6167,22.21,83,65,6.74,RE,1718322228
349,champerico,14.3,-91.9167,26.3,89,100,8.65,GT,1718322223
350,tsagan aman,47.5639,46.7218,21.55,69,52,1.48,RU,1718322315
351,ust'-barguzin,53.45,108.9833,10.75,81,59,1.12,RU,1718322315
352,kirensk,57.7853,108.1119,17.2,62,86,0.89,RU,1718322315
353,merizo village,13.2658,144.6691,28.88,90,74,7.61,GU,1718322315
354,monte alegre,-2.0078,-54.0692,24.89,84,55,1.5,BR,1718322315
355,jaru,-10.4389,-62.4664,24.29,61,7,0.53,BR,1718322315
356,enewetak,11.3474,162.3373,27.95,81,100,9.83,MH,1718322208
357,villa gesell,-37.2639,-56.973,18.92,79,100,2.74,AR,1718321966
358,qalat,32.1058,66.9083,23.04,13,0,1.16,AF,1718322316
359,khandyga,62.6667,135.6,19.67,52,88,2.29,RU,1718322316
360,guerrero negro,27.9769,-114.0611,20.72,64,7,10.0,MX,1718322182
361,korla,41.7597,86.1469,22.82,34,83,7.86,CN,1718322316
362,taulaga,-11.0553,-171.0883,28.91,77,52,6.78,AS,1718322231
363,la reforma,25.0833,-108.05,28.71,68,6,4.86,MX,1718322316
